n,an,bn
0,25.3650181,0
1,4.162085013,-5.953154984
2,-2.237162955,-2.10774673
3,4.480795865,0.188233075
4,-2.065715793,-2.093477379
5,3.044294839,-0.673341447
6,1.564846629,1.781205793
7,-1.218326813,1.127276042
8,1.333198769,0.162018127
9,-1.09222606,-0.063322613
10,0.242971105,0.002851276
11,-0.235863465,0.267951433
12,-0.385324038,0.159892823
13,0.971075428,-0.035648312
14,-0.561133151,-0.179114817
15,0.200778041,-0.240358455
16,-0.038024824,0.178743779
17,-0.120177519,0.44318914
18,0.543317111,0.110438092
19,-0.392859046,-0.221571934
20,0.112079845,-0.205292555
21,-0.297440603,0.076790343
22,-0.107655788,0.216373818
23,0.51371606,0.000260628
24,-0.114560033,-0.203717947
25,0.146296782,-0.197935293
26,-0.285691421,0.005080494
27,0.018357645,0.242848513
28,0.398035494,0.151560019
29,-0.081873858,-0.150644838
30,0.13221734,-0.239600151
31,-0.297326488,-0.035951009
32,-0.016555653,0.192635196
33,0.324301238,0.11764765
34,0.060358974,-0.142455588
35,0.20994973,-0.205221937
36,-0.288915856,-0.033520866
37,-0.010441727,0.171454462
38,0.26371419,0.178125932
39,0.089255684,-0.048219289
40,0.173424199,-0.202174629
41,-0.276495111,-0.089592602
42,-0.015059335,0.13304974
43,0.173588786,0.178336024
44,0.149917579,-0.029787717
45,0.205241112,-0.189139065
46,-0.209508086,-0.081941977
47,-0.049767517,0.123271363
48,0.101482058,0.181453746
49,0.174238623,0.025068722
50,0.172268254,-0.152712832
51,-0.181949457,-0.12013569
52,-0.069216615,0.064572173
53,0.061218449,0.165612841
54,0.180251672,0.050662671
55,0.180776533,-0.136745956
56,-0.109485279,-0.129375448
57,-0.074263425,0.053912627
58,0.003387654,0.160464048
59,0.165999405,0.068097871
60,0.174846922,-0.104081933
61,-0.074617763,-0.136276113
62,-0.085012334,0.003760579
63,-0.016128577,0.124357191
64,0.162938228,0.081541939
65,0.175543657,-0.072131869
66,-0.021456867,-0.136107393
67,-0.067669126,-0.015609264
68,-0.036897235,0.119399128
69,0.125298257,0.09276415
70,0.165576613,-0.050486661
71,0.016973675,-0.126953981
72,-0.062288195,-0.040551158
73,-0.046676719,0.084635795
74,0.111991555,0.088707767
75,0.165507491,-0.019415943
76,0.051955859,-0.104477059
77,-0.048045341,-0.053364026
78,-0.042180733,0.070227501
79,0.07682775,0.097828013
80,0.140290273,-4.99E-05
81,0.074937447,-0.093056361
82,-0.03426424,-0.063423286
83,-0.035723279,0.045942861
84,0.049969035,0.085367212
85,0.137468878,0.015028468
86,0.093197378,-0.06552632
87,-0.020924518,-0.059335611
88,-0.028238327,0.027172845
89,0.025561304,0.080525977
90,0.115541253,0.03034064
91,0.088868242,-0.053160072
92,-0.001962434,-0.064858616
93,-0.01548779,0.008176278
94,0.010037614,0.066729149
95,0.103022748,0.033462152
96,0.094375257,-0.03603872
97,0.016213948,-0.051968463
98,-0.009539166,-0.001321352
99,-0.003118255,0.051362722
100,0.088105525,0.037016278
101,0.082603576,-0.023176092
102,0.02792409,-0.051396842
103,0.005589903,-0.016237666
104,-0.002826156,0.037140788
105,0.07836881,0.036936354
106,0.075982518,-0.013165939
107,0.044828368,-0.040077858
108,0.015214781,-0.014568307
109,-0.007999146,0.026009586
110,0.06720636,0.030895944
111,0.065672462,-0.005082017
112,0.050812621,-0.032873797
113,0.025002162,-0.020863142
114,7.60E-05,0.013172451
115,0.065433306,0.0282962
116,0.055362749,0.00398592
117,0.057550156,-0.023609042
118,0.033365101,-0.016236485
119,0.003108174,0.010609978
120,0.055126154,0.021824406
121,0.044619892,0.004587004
122,0.061213974,-0.016935451
123,0.035574741,-0.014896043
124,0.013081564,0.002932907
125,0.05377338,0.015571742
126,0.04105687,0.009912311
127,0.058739381,-0.007655941
128,0.036343897,-0.011315977
129,0.021241874,0.002342153
130,0.045322011,0.012294136
131,0.033684742,0.0068216
132,0.055645246,-0.006700252
133,0.038800798,-0.009365961
134,0.028471433,0.000117053
135,0.044144201,0.006432661
136,0.034977653,0.005823436
137,0.05290125,1.66E-05
138,0.035761719,-0.004892191
139,0.032934513,-0.001342962
140,0.04183293,0.003893089
141,0.032038765,0.003409041
142,0.047703494,-0.001946058
143,0.037186403,-0.005793703
144,0.039680009,-0.00180189
145,0.04208823,0.002336372
146,0.034616723,0.001108079
147,0.046935095,0.000101517
148,0.036573264,-0.000657637
149,0.039078528,-0.001031656
