"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/01/01","00:00","2.998","-","3.59"
"2023/01/01","01:00","4.069","-","4.46"
"2023/01/01","02:00","5.087","-","5.46"
"2023/01/01","03:00","5.773","-","6.18"
"2023/01/01","04:00","5.948","-","6.33"
"2023/01/01","05:00","5.647","-","6.07"
"2023/01/01","06:00","5.002","-","5.3"
"2023/01/01","07:00","4.162","-","4.6"
"2023/01/01","08:00","3.413","-","3.92"
"2023/01/01","09:00","3.098","-","3.59"
"2023/01/01","10:00","3.358","-","3.82"
"2023/01/01","11:00","4.13","-","4.44"
"2023/01/01","12:00","5.279","-","5.4"
"2023/01/01","13:00","6.598","-","6.7"
"2023/01/01","14:00","7.815","-","7.88"
"2023/01/01","15:00","8.636","-","8.71"
"2023/01/01","16:00","8.807","-","8.82"
"2023/01/01","17:00","8.255","-","8.36"
"2023/01/01","18:00","7.092","-","7.2"
"2023/01/01","19:00","5.488","-","5.71"
"2023/01/01","20:00","3.717","-","4.06"
"2023/01/01","21:00","2.209","-","2.63"
"2023/01/01","22:00","1.3","-","1.59"
"2023/01/01","23:00","1.08","-","1.29"
"2023/01/02","00:00","1.499","-","1.71"
"2023/01/02","01:00","2.416","-","2.57"
"2023/01/02","02:00","3.602","-","3.66"
"2023/01/02","03:00","4.781","-","4.8"
"2023/01/02","04:00","5.664","-","5.76"
"2023/01/02","05:00","6.055","-","6.29"
"2023/01/02","06:00","5.96","-","6.14"
"2023/01/02","07:00","5.479","-","5.73"
"2023/01/02","08:00","4.75","-","5.09"
"2023/01/02","09:00","4.074","-","4.57"
"2023/01/02","10:00","3.791","-","4.21"
"2023/01/02","11:00","4.04","-","4.44"
"2023/01/02","12:00","4.772","-","5.09"
"2023/01/02","13:00","5.852","-","6.12"
"2023/01/02","14:00","7.069","-","7.34"
"2023/01/02","15:00","8.162","-","8.45"
"2023/01/02","16:00","8.843","-","9.17"
"2023/01/02","17:00","8.853","-","9.21"
"2023/01/02","18:00","8.134","-","8.59"
"2023/01/02","19:00","6.806","-","7.3"
"2023/01/02","20:00","5.043","-","5.77"
"2023/01/02","21:00","3.153","-","4.11"
"2023/01/02","22:00","1.59","-","2.64"
"2023/01/02","23:00","0.692","-","1.66"
"2023/01/03","00:00","0.544","-","1.55"
"2023/01/03","01:00","1.081","-","2.26"
"2023/01/03","02:00","2.145","-","3.26"
"2023/01/03","03:00","3.498","-","4.49"
"2023/01/03","04:00","4.848","-","5.68"
"2023/01/03","05:00","5.873","-","6.73"
"2023/01/03","06:00","6.372","-","7.19"
"2023/01/03","07:00","6.356","-","7.14"
"2023/01/03","08:00","5.913","-","6.59"
"2023/01/03","09:00","5.189","-","5.9"
"2023/01/03","10:00","4.518","-","5.15"
"2023/01/03","11:00","4.254","-","4.86"
"2023/01/03","12:00","4.522","-","5.02"
"2023/01/03","13:00","5.256","-","5.69"
"2023/01/03","14:00","6.308","-","6.62"
"2023/01/03","15:00","7.467","-","7.75"
"2023/01/03","16:00","8.466","-","8.88"
"2023/01/03","17:00","8.997","-","9.41"
"2023/01/03","18:00","8.812","-","9.36"
"2023/01/03","19:00","7.89","-","8.41"
"2023/01/03","20:00","6.376","-","6.96"
"2023/01/03","21:00","4.458","-","5.14"
"2023/01/03","22:00","2.49","-","3.37"
"2023/01/03","23:00","0.96","-","1.72"
"2023/01/04","00:00","0.187","-","0.84"
"2023/01/04","01:00","0.215","-","0.86"
"2023/01/04","02:00","0.952","-","1.56"
"2023/01/04","03:00","2.217","-","2.74"
"2023/01/04","04:00","3.749","-","4.16"
"2023/01/04","05:00","5.219","-","5.57"
"2023/01/04","06:00","6.282","-","6.82"
"2023/01/04","07:00","6.767","-","7.43"
"2023/01/04","08:00","6.707","-","7.27"
"2023/01/04","09:00","6.188","-","6.68"
"2023/01/04","10:00","5.396","-","5.93"
"2023/01/04","11:00","4.719","-","5.39"
"2023/01/04","12:00","4.506","-","5.13"
"2023/01/04","13:00","4.838","-","5.45"
"2023/01/04","14:00","5.62","-","6.12"
"2023/01/04","15:00","6.694","-","7.26"
"2023/01/04","16:00","7.828","-","8.42"
"2023/01/04","17:00","8.729","-","9.44"
"2023/01/04","18:00","9.075","-","9.84"
"2023/01/04","19:00","8.658","-","9.37"
"2023/01/04","20:00","7.512","-","8.3"
"2023/01/04","21:00","5.801","-","6.69"
"2023/01/04","22:00","3.751","-","4.86"
"2023/01/04","23:00","1.782","-","2.92"
"2023/01/05","00:00","0.397","-","1.5"
"2023/01/05","01:00","-0.151","-","0.89"
"2023/01/05","02:00","0.132","-","1.19"
"2023/01/05","03:00","1.122","-","2.27"
"2023/01/05","04:00","2.604","-","3.7"
"2023/01/05","05:00","4.272","-","5.36"
"2023/01/05","06:00","5.764","-","6.83"
"2023/01/05","07:00","6.753","-","7.95"
"2023/01/05","08:00","7.111","-","8.28"
"2023/01/05","09:00","6.899","-","8.16"
"2023/01/05","10:00","6.229","-","7.42"
"2023/01/05","11:00","5.357","-","6.64"
"2023/01/05","12:00","4.714","-","6.1"
"2023/01/05","13:00","4.605","-","5.9"
"2023/01/05","14:00","5.051","-","6.32"
"2023/01/05","15:00","5.933","-","7.21"
"2023/01/05","16:00","7.062","-","8.14"
"2023/01/05","17:00","8.168","-","9.03"
"2023/01/05","18:00","8.932","-","9.89"
"2023/01/05","19:00","9.052","-","9.99"
"2023/01/05","20:00","8.373","-","9.73"
